"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,opening,,text,"Record ID",,,,,,,,,,,,,
id,opening,,text,"מספר נבדק",,"ראשי תיבות ו-4 ספרות אחרונות ת""ז",,,,y,,,,,,,
qualified_ipc,opening,,radio,"<div class=""rich-text-field-label""><p>האם הנבדק/ת מתאים לקבלת טיפול ע""י תומך חוסן?</p> <p> </p> <p>(בהתאם להמלצה של הרופא הממיין - האם הוא מתאים.ה להתערבות IPC)</p> <p> </p></div>","1, כן | 0, לא",,,,,,,y,,,,,
group_study,opening,,radio,"לאיזה קבוצה משתייך/ת הנבדק?
שימי לב לסמן את הקבוצה הנכונה","1, טיפול מדורג (Stepped Care) | 2, טיפול כרגיל (Care as usual)",,,,,,,y,,,,,
type_treat,opening,,radio,"מה סוג הטיפול שהנבדק.ת מקבל.ת?","1, התערבות IPC- תומך | 2, התערבות IPT- מטפל מומחה | 3, מטפל מומחה- טיפול אחר | 4, לא מקבל טיפול. בהמתנה | 5, טיפול קבוצתי במרפאה | 6, קאטינג דאון, cutting down | 7, טיפול תמיכתי ע""י סטודנט (לא IPC)",,,,,,,y,,,,,
measure_time,opening,,dropdown,"<div class=""rich-text-field-label""><p>אנא סמנו איזו מדידה זו?</p> <p>שימי לב לסמן את המדידה הנכונה</p> <p> </p></div>","1, Intake (אינטייק) | 2, followup_5weeks ( מדידת חודש) | 3, followup_12weeks ('מדידה 3 ח) | 4, followup_24 weeks ('מדידה 6 ח) | 5, INT_Pre (לפני התחלת התערבות) | 6, INT_first session (אחרי פגישה ראשונה) | 7, INT_5weeks (פגישה 5) | 8, INT_post ( אחרי סיום טיפול) | 9, INT_followup ( מעקב 3 חודשים אחרי התערבות)",,,,,,,y,,,,,
complaint,opening,,checkbox,"סיבת הפנייה למיון","1, מחשבות אובדניות | 2, תכנון אובדני | 3, ניסיון אובדני | 4, פציעה עצמית ללא כוונה אובדנית | 5, אחר | 6, לא הגיעו דרך מיון","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
diagnosis,opening,,checkbox,"<div class=""rich-text-field-label""><p style=""text-align: right;"">אבחנה פסיכיאטרית</p></div>","1, דיכאון | 2, חרדה | 3, חשיבה אובדנית | 4, הפרעת התנהגות | 5, חשד להפרעה מנטלית | 6, הפרעת קשב וריכוז | 7, אחר | 8, דיספוריה מגדרית | 9, הפרעה אובססיבית-קומפולסיבית | 10, חרדה חברתית | 11, הפרעת הסתגלות | 12, אוטיזם | 13, הפרעת אישיות | 14, הפרעת אכילה","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
unit_name,opening,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">?דרך איזו מרפאה המטופל מקבל את הטיפול</p></div>","0, מרפאת דכאון | 1, התערבות במשבר",,,,,,,y,,,,,
consent,opening,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">?האם נחתם טופס הסכמה להשתתפות במחקר</p></div>","1, כן | 2, לא",,,,,,,,,,,,
age_child,opening_child,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">   ?לפני שנתחיל- בבקשה ציינו בני כמה אתם</p></div>",,,number,0,99,y,,y,,,,,
gender,opening_child,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">נא הזן את התשובה הנכונה לגביך</p></div>","1, זכר | 2, נקבה | 3, טרנסג'נדר | 4, אחר",,,,,,,y,,,,,
sex,opening_child,,radio,"מהו המין שנקבע לך בעת לידתך?","1, זכר | 2, נקבה",,,,,,,y,,,,,
gender1,opening_child,,radio,"מהי זהותך המגדרית כיום?","1, בן (סיסג'נדר) | 2, בת (סיסג'נדר) | 3, טרנסג'נדר/ית | 4, א-בינארי/ נזיל/ ג'נדר-קוויר | 5, בודק/ת לא בטו/ח | 6, אחר",,,,,,,,,,,,
sexual_orientation,opening_child,,radio,"מהי נטייתך/ העדפתך המינית כיום?
","1, סטרייט/ית (הטרוסקסואל/ית) | 2, הומו/ לסבית | 3, ביסקסואל/ית | 4, נזיל | 5, פאן-סקסואל/ית | 6, בודק/ת לא בטוח/ה | 7, אחר",,,,,,,y,,,,,
cors_personal_c,cors_c,"<div class=""rich-text-field-label""><p style=""text-align: left;"">בשאלון זה אנחנו רוצים לשמוע על איך את/ה מרגיש/ה בחייך בתחומים שונים. בבקשה ענה/י לפני מה שאת/ה מרגישה/ה בשבוע האחרון</p> <p style=""text-align: left;"">הזז/י את הריבוע האפור על הסרגל בהתאם למה שאת'ה מרגיש/ה בשבוע האחרון</p> <p style=""text-align: left;"">הככל שאתם קרובים יותר לצד שמאל (""לא טוב"") כך המצב גרוע ( 0) . ככל שאתם קרובים יותר לצד ימין (""טוב"""") זה אומר  <br />שהמצב טוב (10)</p></div>",slider,"איך הולך לי? מה שלומי?","לא טוב |  | טוב מאוד",,number,,10,,,y,RH,,,,
cors_interpersonal_c,cors_c,,slider,"איך עם המשפחה שלי?","לא טוב |  | טוב",,number,,10,,,y,RH,,,,
cors_socially_c,cors_c,,slider,"מה המצב בביה""ס?","לא טוב |  | טוב",,number,,10,,,y,RH,,,,
cors_general_c,cors_c,,slider,"מה המצב באופן כללי? איך הכל הולך?","לא טוב |  | טוב מאוד",,number,,10,,,y,RH,,,,
c_ssrs_1_life,cssrs_c_intake,"אנא ענה/י על השאלות הבאות לגבי כל תקופת חייך",radio,"האם קיווית למות או ללכת לישון מבלי להתעורר?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_life,,
c_ssrs_2_life,cssrs_c_intake,,radio,"האם היו לך מחשבות להרוג את עצמך?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_life,,
c_ssrs_3_life,cssrs_c_intake,,radio,"האם חשבת איך לעשות את זה (באיזה שיטה)","0, לא | 1, כן",,,,,,"[c_ssrs_1_life]= '1' or [c_ssrs_2_life]='1'",,,,c_ssrs_life,,
c_ssrs_4_life,cssrs_c_intake,,radio,"האם היו לך כוונות אכן לפעול לפי המחשבות של להרוג את עצמך?","0, לא | 1, כן",,,,,,"[c_ssrs_1_life]= '1' or [c_ssrs_2_life]='1'",,,,c_ssrs_life,,
c_ssrs_5_life,cssrs_c_intake,,radio,"האם התחלת לתכנן או שכבר סגרת את פרטי התוכנית של איך תהרוג/תהרגי את עצמך? האם יש לך כוונה לממש את תוכנית זו?","0, לא | 1, כן",,,,,,"[c_ssrs_1_life]= '1' or [c_ssrs_2_life]='1'",,,,c_ssrs_life,,
c_ssrs_6_life,cssrs_c_intake,,radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך?  דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'","0, לא | 1, כן",,,,,,,,,,c_ssrs_life,,
c_ssrs_8_intake,cssrs_c_intake,,text,"במשך כל חייך, כמה פעמים עשית משהו מכל הדברים האלו?",,,number,0,,,,,,,,,
c_ssrs_7_intake,cssrs_c_intake,,text,"בחודש האחרון, כמה פעמים עשית משהו מכל הדברים האלו?",,,,,,,,,,,,,
c_ssrs_7_life,cssrs_c_intake,,radio,"האם אי פעם ניסית להתאבד?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa,,
c_ssrs_8_life,cssrs_c_intake,,radio,"האם אי פעם ניסית לפגוע בעצמך -לא כדי למות?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa,,
c_ssrs_9_life,cssrs_c_intake,,radio,"האם ב-3 החודשים האחרונים ניסית להתאבד?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa,,
c_ssrs_10_life,cssrs_c_intake,,radio,"האם ב-3 החודשים ניסית לפגוע בעצמך -לא כדי למות?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa,,
c_ssrs_1_2w,cssrs_c_measurs,"חשב/י על השבועיים האחרונים וענה/י על השאלות הבאות ",radio,"האם קיווית למות או ללכת לישון מבלי להתעורר?","0, לא | 1, כן",,,,,,,y,,1,c_ssrs_other_measurs,,
c_ssrs_2_2w,cssrs_c_measurs,,radio,"האם היו לך מחשבות להרוג את עצמך?","0, לא | 1, כן",,,,,,,y,,2,c_ssrs_other_measurs,,
