"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,opening,,text,"Record ID",,,,,,,,,,1,,,
id,opening,,text,"מספר נבדק",,"ארבע ספרות אחרונות של ת""ז (כולל ספרת ביקרת) ואות ראשונה של שם פרטי",,,,,,,,,,,
er_num,opening,,text,"ER ID Number",,"מספר נבדק במחקר מיון (אם קיים)",,,,,,,,,,," @HIDDEN-SURVEY @HIDDEN-FORM @HIDDEN"
complaint,opening,,checkbox,"סיבת הפנייה למיון","1, מחשבות אובדניות | 2, תכנון אובדני | 3, ניסיון אובדני | 4, פציעה עצמית ללא כוונה אובדנית | 5, אחר | 6, לא הגיעו דרך מיון","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
complaint_other,opening,,text,"במידת הצורך נא פרט/י",,,,,,,,,,,,,
complaint_date,opening,,text,"תאריך פנייה למיון",,,date_dmy,,,,,,,,,,
diagnosis,opening,,checkbox,"אבחנה פסיכיאטרית","1, דיכאון | 2, חרדה | 3, חשיבה אובדנית | 4, הפרעת התנהגות | 5, חשד להפרעה מנטלית | 6, הפרעת קשב וריכוז | 7, אחר | 8, דיספוריה מגדרית | 9, הפרעה אובססיבית-קומפולסיבית | 10, חרדה חברתית | 11, הפרעת הסתגלות | 12, אוטיזם | 13, הפרעת אישיות | 14, הפרעת אכילה","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
diagnosis_other,opening,,text,"במידת הצורך, נא פרט/י",,,,,,,"[diagnosis(7)] = '1'",,,,,,
opening_psychothe,opening,,radio,"האם הנבדק/ת נמצא/ת בטיפול פסיכותרפיה?","1, כן | 2, לא",,,,,,,,,,,,
opening_psychothe_2,opening,,checkbox,"באיזה טיפול פסיכותרפי מדובר?","1, טיפול CBT | 2, טיפול דינאמי | 3, טיפול IPT | 4, התערבות חירום | 5, הדרכת הורים | 6, טיפול משפחתי | 7, אחר",,,,,,"[opening_psychothe] = '1'",,,,,,
opening_psychothe_3,opening,,text,"בעת הצורך, נא פרט/י",,,,,,,"[opening_psychothe] = '1'",,,,,,
opening_medicine,opening,,radio,"האם הנבדק/ת מקבל/ת טיפול תרופתי?","1, כן | 2, לא",,,,,,,,,,,,
opening_medicine_2,opening,,checkbox,"באיזה טיפול תרופתי מדובר?","1, אנטי דכאוני (לדוג' פריזמה) | 2, אנטי פסיכוטי (לדוג' רספרידל) | 3, מעורר (לדוג' ריטלין) | 4, בנזודיאזיפינים (לדוג' קלונקס) | 5, אחר",,,,,,"[opening_medicine] = '1'",,,,,,
opening_medicine_3,opening,,text,"בעת הצורך, נא פרט/י",,,,,,,"[opening_medicine] = '1'",,,,,,
iat_done,opening,,radio,"האם בוצעה מטלת IAT?","1, כן | 2, לא",,,,,,,,,,,," @HIDDEN-SURVEY"
