questionnaire,participant_type
cshq_f,Father
maris_soq_sf,Child
inq,Child
cts_m,Mother
SAS,Child
scs_clin,Clinician
mini_kid_sum_clin,Clinician
cts_c,Child
suicide_form_clin,Clinician
c_ssrs_fu_maya,Child
opening_child_pre,Child
cgi_s_stu,Student
ending,Child
dass_f,Father
ecr_m,Mother
mini_kid_sum_stu,Student
ecr_f,Father
erq_m,Mother
remote_clin,Clinician
covid19,Child
opening_clinicians,Child
ARI_P_F,Father
sdq_parents_f,Father
dshi_pre,Child
opening_parents_m,Mother
intro,Child
sdq,Child
trq_sf_maris_stu,Student
siq,Child
moas_m,Mother
mast,Child
opening_students,Child
ending_parent_m,Mother
demographics_f,Father
wai_immirisk_clin,Clinician
ders_p_f,Father
opening,Child
wai,Child
c_ssrs,Child
chameleon,Child
er_questionnaire_clin,Clinician
sdq_parents_m,Mother
cps_clin,Clinician
ders,Child
scared,Child
maris_sci_sf,Child
erq_f,Father
ARI_S,Child
dass_m,Mother
cps_stu,Student
scs_stu,Student
dshi_post,Child
swan_m,Mother
cdrsr_clin,Clinician
sci_mother,Mother
cgi_s_clin,Clinician
sci_father,Father
ARI_P_M,Mother
remote_stu,Student
ders_p_m,Mother
trq_sf_maris_clin,Clinician
mfq,Child
estimation_and_satisfaction,Child
cts_f,Father
moas_f,Father
opening_parents_f,Father
maris_y_scars_clin,Clinician
c_ssrs_clin,Clinician
ffq,Child
sci_af_ca,Child
ending_parent_f,Father
cshq_m,Mother
screening_form,Child
c_ssrs_stu,Student
swan_f,Father
erq_ca,Child
erc_rc,Child
c_ssrs_intake,Child
piu_cyberbulling,Child
opening_therapist_battery,Child
demographics_m,Mother
ATHENS,Child
